source_name,source_link,event_id,event_date,event_title,event_description,location_description,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,longitude,latitude,rainfall_1d,rainfall_3d,rainfall_7d,rainfall_14d,max_rainfall_7d,elevation_m,slope_deg,location_accuracy_km,is_rain_triggered,landslide_size_encoded,FAOSOIL,DOMSOI
articles.timesofindia,http://articles.timesofindia.indiatimes.com/2012-07-04/guwahati/32536229_1_massive-landslides-landslide-hit-road-blockade,4435,2012-06-25 00:00:00,"Tirap , Arunachal Pradesh",Landslides triggered by torrential rain have snapped road communication in Tirap district of Arunachal Pradesh for the past several days.,"Tirap , Arunachal Pradesh",landslide,downpour,large,unknown,0.0,0.0,India,IN,Arunachal Pradesh,24428.0,Margherita,18.01926,95.8011,27.174,36.02,76.5,135.79,244.84,36.02,295.0,1.041280595140532,10.0,True,3.0,Ao76-2/3c,Ao
articles.timesofindia,http://articles.timesofindia.indiatimes.com/2011-03-23/guwahati/29178165_1_road-links-rainfall-source,3269,2011-03-22 00:00:00,"road from other districts to Hawai(Tawai?) which is  on Lojit river, near Hayuliang,  Anjaw district, Arunachal Pradesh","Mar 23, 2011, 11.15pm IST  ITANAGAR: Floods triggered by incessant rainfall for the last couple of days have snapped road links in several districts of Arunachal Pradesh. The water-level of Lohit and Dehing river have increased by two meters, posing threats to habitations in the catchments areas, a source said here on Wednesday.  Landslides triggered by flashfloods de-linked Hawai, the headquarters of Anjaw district, from the rest of the state on Monday, besides washing away a primary school building and a few houses near Hayuliang.","road from other districts to Hawai(Tawai?) which is  on Lojit river, near Hayuliang,  Anjaw district, Arunachal Pradesh",landslide,downpour,medium,unknown,0.0,0.0,India,IN,Arunachal Pradesh,14927.0,Tezu,43.03855,96.5242,28.0791,7.48,55.41,102.32,122.1,37.46,557.0,24.638327529773587,10.0,True,2.0,I-Af-Bd-2c,I
www.nagalandpost.com,http://www.nagalandpost.com/channelnews/state/StateNews.aspx?news=TkVXUzEwMDA0NjAwNw%3D%3D-%2FtfIAOw1uMk%3D,4906,2013-06-07 00:00:00,"Helipong-Chessore Road, Nagaland","Chessore Area GBÕs Union (CAGBU) has expressed gratitude to parliamentary secretary CAWD R. Tohanba for deploying his own excavator and men for clearing up the landslide along Helipong-Chessore road. The road was blockade due to heavy landslide since early June 2013. Following the clearance of landslide, vehicles can now pass through this road. In a press release, CAGBU general secretary R. Ramji and vice president S. Neoji also appealed to the department  of PWD (R& B) to look after the road condition of Helipong- Chessore for the welfare of the general public","Helipong-Chessore Road, Nagaland",landslide,unknown,medium,unknown,0.0,0.0,India,IN,Nagaland,33748.0,Tuensang,20.17679,94.7499,26.0977,9.11,20.54,30.52,61.92,9.11,1550.0,3.0918835620363234,10.0,False,2.0,Ao76-2/3c,Ao
e-pao.net,http://e-pao.net/GP.asp?src=6..270711.jul11,3830,2011-07-22 00:00:00,Manipur,"PWD officials reject Moreh office collapse report Source: The Sangai Express  Moreh, July 26 2011: There is no question of caving in of the main building of Mini-Secretariat at Moreh and preparations are on for inauguration of the office building at the soonest possible, AE M Birla Singh and SO Senminthang of PWD, Moreh have clarified.  Following heavy rainfall, landslides occurred along some portion of the road running in between the Transit Hostel and the main building of the Mini Secretariat recently leading to debris falling against the western wall of the main office building of the Mini Secretariat.  Efforts are currently underway to remove the debris with deployment of excavators.  AE M Birla and SO Senminthang, who came to inspect the work, clarified that there is no damage caused to the main building of the Mini Secretariat in the recent landslide contrary to what had been reported in some section of the media.",Manipur,landslide,downpour,small,unknown,0.0,0.0,India,IN,Manipur,7528.0,Wāngjing,38.5554,94.3429,24.3527,5.5,39.36,128.4,197.44,37.53,283.0,13.266819111186056,10.0,True,1.0,,
India Today,http://indiatoday.intoday.in/story/landslide-in-manipur-near-myanmar-border-kills-21/1/455645.html,7385,2015-08-01 00:00:00,"Holenjang, Chandel district","Another village Holenjang, which is 15km away from Joumol is also hit by landslide but due to non-motorable road rescue teams were yet to reach this area till late Saturday evening.","Holenjang, Chandel district",landslide,continuous_rain,medium,unknown,0.0,0.0,India,IN,Manipur,47774.0,Churāchāndpur,48.31354,93.9815,24.004,5.31,82.66,101.37,180.8,60.55,1460.0,34.51751463643877,10.0,True,2.0,Ao76-2/3c,Ao
E-PAO,http://e-pao.net/GP.asp?src=22..020815.aug15,7374,2015-08-01 00:00:00,Ukhrul town Circular road from Rayotang to Viewland Zone II,"In separate similar incidents, due to sinking of Ukhrul town Circular road from Rayotang to Viewland Zone II, a newly constructed Meitei Baptist Church building, including pastor quarter and kitchen have been destroyed, while heavy downpour that lashed the district over the last 48 hours has left some three dwelling houses damaged at Dungrei Junction.",Ukhrul town Circular road from Rayotang to Viewland Zone II,landslide,continuous_rain,medium,below_road,0.0,0.0,India,IN,Manipur,223523.0,Imphal,53.75747,94.3591,25.1122,4.9,104.34,121.77,213.52,79.86,1848.0,17.243893132265686,10.0,True,2.0,Bh16-2/3c,Bh
Arunachal Times,http://www.arunachaltimes.in/landslide-blocks-ziro-tamen-road/,9168,2016-06-12 23:00:00,"NH 13 10 kilometers from Old Ziro, Arunachal Pradesh, India","Estimated location along road. Heavy rains on Sunday night triggered series of landslides between Ziro and Ripali, Tamen, 10Kms from Old Ziro, stranding the commuters for the entire day. However due to heavy rains, the restoration work had to be halted and will resume on Tuesday.","NH 13 10 kilometers from Old Ziro, Arunachal Pradesh, India",landslide,downpour,medium,above_road,0.0,0.0,India,IN,Arunachal Pradesh,13893.0,Ziro,6.29222,93.871,27.6438,23.76,42.42,87.79,107.03,23.76,1708.0,22.834392972989953,10.0,True,2.0,Ao80-2bc,Ao
IBN Live,http://www.ibnlive.com/news/india/incessant-rains-trigger-landslide-and-mud-slips-in-nagaland-1029674.html,7409,2015-08-02 00:00:00,Meluri Sub-Division in Phek District of Nagaland,Incessant rains for the past few days have caused mud slips and landslide in some areas under Meluri Sub-Division in Phek District of Nagaland.,Meluri Sub-Division in Phek District of Nagaland,landslide,continuous_rain,medium,unknown,0.0,0.0,India,IN,Nagaland,15118.0,Phek,13.58896,94.6219,25.72,0.7,71.33,99.02,175.29,64.07,1708.0,46.91495762766459,10.0,True,2.0,Ao76-2/3c,Ao
e-pao,http://www.e-pao.net/GP.asp?src=5..101010.oct10,2576,2010-10-09 00:00:00,"NH-39 at Tobio village(?), 7 km form Tadubi, Manipur","Owing to landslides, triggered by incessant rainfall, at various points along the National highway vehicular movement on the ImphalDimapur section has come to a grinding halt today.  An informed source said that a massive landslide had washed away substantial portion of the highway at Tobio village, which is about 7 kilometres from Tadubi.  Even though there are reports about clearance of the debris and repairing of the road link at about 4.30 pm today heavy vehicle ceased plying on the route for the day.","NH-39 at Tobio village(?), 7 km form Tadubi, Manipur",landslide,downpour,medium,unknown,0.0,0.0,India,IN,Nagaland,92113.0,Kohima,21.89269,94.1399,25.4788,23.12,99.99,119.47,142.62,52.1,1640.0,14.637633427177526,10.0,True,2.0,Ao76-2/3c,Ao
ibnlive.in,http://ibnlive.in.com/generalnewsfeed/news/three-killed-in-landslides/758753.html,3806,2011-07-19 00:00:00,"Itanagar (one near Pachali power house, one near Heema Hospital, and one nearRomik Colony at P Sector)","Three killed in landslides PTI | 02:07 PM,Jul 19,2011  Itanagar, July 19 (PTI) Three persons including two minors were buried alive, while several others were seriously injured this morning when massive landslides triggered by torrential rain washed away several dwellings in and around the state capital, police sources said. A three-year-old girl died when landslide hit her house near Pachali power house while a 4 year boy died when his house caved in near Heema Hospital and one person was buried alive at Romik Colony at P Sector here this morning, city Superintendent of Police Chuku Appa said. Several injured people were admitted to hospitals here while conditions of a few are stated to be critical, the SP added. Incessant rain during the past couple of days triggered massive landslips today in several points along the NH 52 (A) disrupting surface communication between Itanagar to Banderdewa and Itanagar to Hollongi. The state PWD along with Border Road Task Force (BRTF) cleared all t","Itanagar (one near Pachali power house, one near Heema Hospital, and one nearRomik Colony at P Sector)",landslide,downpour,medium,unknown,3.0,0.0,India,IN,Arunachal Pradesh,26912.0,Naharlagun,0.6921,93.6884,27.1032,58.61,136.8,253.15,286.71,69.35,145.0,0.926369172997235,10.0,True,2.0,Be82-a,Be
