source_name,source_link,event_id,event_date,event_title,event_description,location_description,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,longitude,latitude,rainfall_1d,rainfall_3d,rainfall_7d,rainfall_14d,max_rainfall_7d,elevation_m,slope_deg,location_accuracy_km,is_rain_triggered,landslide_size_encoded,FAOSOIL,DOMSOI
morungexpress,http://www.morungexpress.com/local/56264.html,2587,2010-10-10 06:00:00,"Lower Chandmari area, PWD department, Kohima, Manipur","Today, a government quarter belonging to PWD department and three private houses in Lower Chandmari area, Kohima started to sink around 6 am. Informing the media, a concerned citizen, Temjentiba, stated “I want to make the concerned authority aware of the damage and arrange necessary measures to help the effected victims who are like you and me. As a responsible citizen I’m sharing this with the rest of the people.” It was estimated that altogether, four houses were completely sunk and damages estimated to be worth 40 to 50 lakhs of rupees.","Lower Chandmari area, PWD department, Kohima, Manipur",landslide,downpour,medium,unknown,0.0,0.0,India,IN,Nagaland,92113.0,Kohima,1.4225,94.1072,25.6623,0.87,76.09,120.34,131.06,52.1,1382.0,9.350342558119696,1.0,True,2.0,Ao76-2/3c,Ao
The Shillong Times,http://www.theshillongtimes.com/2015/06/17/entire-family-among-5-dead-in-tura-landslides/,6969,2015-06-16 06:15:00,"Nakham Bazaar, Tura, Meghalaya",Huge tons of mud and boulders came crashing down from the above cliffs completely destroying the home.,"Nakham Bazaar, Tura, Meghalaya",landslide,downpour,medium,urban,4.0,0.0,India,IN,Meghalaya,63645.0,Tura,1.30159,90.215,25.5114,27.16,62.64,230.34,245.52,61.76,306.0,8.213794389737659,1.0,True,2.0,Nd2-2b,Nd
e-pao.net,http://e-pao.net/GP.asp?src=Snipp8..080911.sep11,3965,2011-09-06 08:00:00,NH 37 at Awang Khul,A massive landslide along the NH 37 at Awang Khul has cut off Imphal and Jiribam,NH 37 at Awang Khul,landslide,rain,medium,unknown,3.0,0.0,India,IN,Assam,12871.0,Lakhipur,11.03875,93.117,24.808,22.29,30.58,45.24,61.51,22.29,39.0,5.900698486822301,1.0,True,2.0,Gd25-2a,Gd
gsi.gov,"http://www.portal.gsi.gov.in/portal/page?_pageid=127,875814&_dad=portal&_schema=PORTAL",2205,2010-08-06 00:00:00,"Dawrpui Vengthar cemetary, Aizwal, Mizoram","As per PTI report a massive landslide triggered by heavy rains on 6th August 2010 at the cemetery of Dawrpui Vengthar locality, Aizwal has swept away number of tombs.","Dawrpui Vengthar cemetary, Aizwal, Mizoram",landslide,downpour,medium,unknown,0.0,0.0,India,IN,Mizoram,265331.0,Aizawl,0.90276,92.7146,23.7365,0.38,16.06,42.25,101.53,15.24,1024.0,35.93984192404095,1.0,True,2.0,Bd61-2c,Bd
www.indiatvnews.com,http://www.indiatvnews.com/news/india/sikkim-landslide-army-rescues-tourists-stranded-near-nathu-la-24315.html,4990,2013-06-27 23:00:00,"Near Changu Lake, 15Km Away From Nathu La, On India-China Border In Eastern Sikkim","The Mountain Black Cat Division of the Indian Army has rescued 230 tourists last night when they were stranded near Changu Lake (13300 ft height) , 15 km away from Nathu La, on India-China border in eastern Sikkim. Heavy rain and landslides in this area has cut off traffic. The nearest regiment of army jawans noticed nearly 47 vehicles carrying tourists who were stranded at night.","Near Changu Lake, 15Km Away From Nathu La, On India-China Border In Eastern Sikkim",landslide,downpour,medium,unknown,0.0,0.0,India,IN,Sikkim,30700.0,Gangtok,15.93151,88.7628,27.3765,10.5,37.88,89.33,108.19,20.53,3756.0,12.964867886244122,1.0,True,2.0,I-Bh-U-c,I
Mizoram Express,http://mizoramexpress.com/index.php/2010/09/mizoram-landslides-kill-one-woman/,2422,2010-09-13 00:00:00,"Hunthar Veng, Mizoram","In Hunthar Veng, the kitchen side of H. Lalchhanhima’s house was damaged by a landslide while the road to Kanan Veng was blocked by a landslide. ","Hunthar Veng, Mizoram",landslide,downpour,medium,urban,0.0,0.0,India,IN,Mizoram,20244.0,Serchhīp,8.59507,92.7141905,23.74182634,9.93,17.18,36.45,64.21,9.93,930.0,14.76547201733368,1.0,True,2.0,Bd61-2c,Bd
E-Pao,http://www.e-pao.net/GP.asp?src=Snipp1..260716.jul16,9186,2016-07-25 12:30:00,"Imphal-Dimapur road  in Tadubi, Senapati district, Manipur, India","Continuous downpour in the past three days led to a massive mudslide along Imphal-Dimapur road (NH-2) and destroyed 6 stalls constructed at the heart of Tadubi town at around 12.30pm today, reports NNN.  An 81 year old woman identified as S Koshuni, who was in one of the shops miraculously escaped with minor injuries.","Imphal-Dimapur road  in Tadubi, Senapati district, Manipur, India",landslide,continuous_rain,medium,above_road,0.0,1.0,India,IN,Manipur,92113.0,Kohima,21.74404,94.1383,25.48,18.3,31.65,48.82,130.34,18.3,1699.0,16.072160878428527,1.0,True,2.0,Ao76-2/3c,Ao
Mizoram Express,http://mizoramexpress.com/index.php/2010/09/mizoram-landslides-kill-one-woman/,2420,2010-09-13 00:00:00,"Tuikual 'C', Aizawl, Mizoram","Landslide triggered by heavy rain in Tuikual ‘C’ on Monday killed a woman, R. Laltanpuii.  According to Aizawl Police sources, the landslide buried the woman while she was collecting water with her friend. Luckily, her friend who was nearby her escaped unhurt.  The dead body was handed over to her relatives after post mortem examination in Aizawl Civil Hospital. ","Tuikual 'C', Aizawl, Mizoram",landslide,downpour,medium,urban,1.0,0.0,India,IN,Mizoram,20244.0,Serchhīp,8.59507,92.71495623,23.72988966,9.93,17.18,36.45,64.21,9.93,980.0,23.342694612103696,1.0,True,2.0,Bd61-2c,Bd
articles.timesofindia,http://articles.timesofindia.indiatimes.com/2012-09-19/guwahati/33951873_1_landslides-road-communication-water-tank,4570,2012-09-19 00:00:00, Arunachal Pradesh ,"Landslides blocked the main road culvert (PWD) near the beat office causing soil erosion from lower portion of the compound. Beat officer Bapak Koyu said if such rain continues, government quarters and office buildings may get washed away. He added that the staff, along with office files and documents, have been shifted to a safe place for the time being. Stating that the matter has been intimated to the higher authorities, Koyu urged for hiring one JCB immediately to divert the nullah passing through the forest compound.", Arunachal Pradesh ,landslide,downpour,medium,unknown,0.0,0.0,India,IN,Arunachal Pradesh,25581.0,Pāsighāt,26.39832,95.2253,27.8458,62.91,108.4,203.85,348.6,62.91,131.0,0.926369172997235,1.0,True,2.0,Ao79-a,Ao
Assam Times,http://www.assamtimes.org/node/15150,8339,2015-09-23 00:00:00,Kamakhya Temple,Surface communication remains heavily disrupted atop the Nilachal Hill when a huge rock collapsed on the road leading to the historic Kamakhya temple on Wednesday.It took several hours for PWD and forest officials to clear the road after the rock along with uprooted trees blocked a portion of the hillside road in the morning. There is no report of casualty. Local residents fear the repeat of more landslide in view of the non stopped rains during the last 48 hours. The authority have asked the residents in the hillock to come down to the safe places to avoid further disaster.Tourists from the far flung areas have been remaining stranded on way to the historic Kamakhya temple from early in the morning.,Kamakhya Temple,landslide,continuous_rain,medium,above_road,0.0,0.0,India,IN,Assam,17516.0,North Guwāhāti,3.77975,91.7042,26.1666,61.13,106.92,116.73,186.09,61.13,235.0,17.151823509523624,1.0,True,2.0,Ao79-a,Ao
Assam Tribune,http://www.assamtribune.com/scripts/detailsnew.asp?id=sep2414/at051,6283,2014-09-22 00:00:00,Dakhingaon,"Flash flood and landslides continued to cause devastation in Guwahati for the second day today with the death toll due to landslip rising to four. Two persons died in two separate incidents of landslides in Lalmati and Dakhingaon, whereas a woman was injured in another landslide incident at Batahghuli.",Dakhingaon,landslide,rain,small,unknown,0.0,0.0,India,IN,Assam,2000.0,Dispur,4.61338,91.7548,26.1314,126.76,191.59,231.7,266.59,126.76,74.0,7.148839105606214,1.0,True,1.0,Nd2-2b,Nd
Sciency Thoughts,http://sciencythoughts.blogspot.com/2014/05/seven-members-of-one-family-killed-by.html,6016,2014-05-09 23:00:00,"Satgarakul Village, Karimganj, Assam State","Seven members of a single family have been killed by a landslide that struck their home in the village of Satkoragool in the Karimganj District of Assam State, India, overnight between Friday 9 May and Saturday 10 May/2014. Nobody witnessed the incident, which occurred during heavy rain, but neighbours found that part of a hillside had collapsed onto the home, burying it under a debris heap of mud rocks and trees. The bodies of Lubub Uddin (45), his wife Saina Begam (35). and their five children, aged between two and eleven were all recovered from the site.","Satgarakul Village, Karimganj, Assam State",landslide,rain,small,unknown,7.0,0.0,India,IN,Assam,55290.0,Karīmganj,0.3326,92.3576,24.8669,43.71,124.37,171.03,215.65,44.97,20.0,2.0413777681804106,1.0,True,1.0,Ge53-3a,Ge
Mizoram Express,http://mizoramexpress.com/index.php/2010/09/mizoram-landslides-kill-one-woman/,2421,2010-09-13 09:00:00,"road to Muanna Godown, Zuangtui, Mizoram",The heavy rain also caused landslides in several places blocking the road. The approach road to Muanna Godown in Zuangtui was blocked by a landslide since this morning.  It is expected to be restored this evening. ,"road to Muanna Godown, Zuangtui, Mizoram",landslide,downpour,medium,above_road,0.0,0.0,India,IN,Mizoram,20244.0,Serchhīp,8.59507,92.74128531,23.75406693,11.41,19.1,46.34,93.87,11.41,959.0,22.717560039379222,1.0,True,2.0,Bd61-2c,Bd
indiablooms,http://www.indiablooms.com/EnvironmentDetailsPage/environmentDetails190810a.php,2282,2010-08-19 06:30:00,"Tuensang-Kohima rd, 3 km outside Tuensang, Nagaland","Even in Tuensang town, a couple of roads have to be cleared daily due to mudslides. On Thursday morning, the Kohima-bound NST bus left Tuensang station around 9.30 am, three hours behind schedule due to mudslides near GREF camp, some 3km from the station.   People cross a portion of the landslide area, along the National Highway 39, below Kohima, on Saturday, August 21, 2010. The calamities which affect the National Highway 39 started from August 7 after continuous heavy rainfall in the hilly state of Nagaland.","Tuensang-Kohima rd, 3 km outside Tuensang, Nagaland",landslide,downpour,medium,unknown,0.0,0.0,India,IN,Nagaland,33748.0,Tuensang,7.65096,94.8158,26.1984,13.74,29.82,94.99,131.16,26.51,1884.0,32.421818019787125,1.0,True,2.0,Ao76-2/3c,Ao
Indian Express,http://indianexpress.com/article/india/india-news-india/at-least-10-killed-in-landslides-in-assam-rescue-operations-underway-2806810/,9335,2016-05-18 08:00:00,"Bilaipur, Hailakandi district, Assam, India","One of two landslides in Bilaipur triggered by the same rainfall event. Ten people were killed in landslides in Karimganj and Hailakandi districts in Barak Valley in Assam on Wednesday following incessant rains. In neighbouring Hailakandi district, two incidents of landslide killed four persons at Bilaipur and a six-year old boy at Ramchandi area, police officials said. The debris fell on two houses where the victims were sleeping early in the morning, they said. NDRF and police have been engaged in rescue and relief operations.","Bilaipur, Hailakandi district, Assam, India",landslide,continuous_rain,unknown,unknown,2.0,0.0,India,IN,Assam,10942.0,Lāla,11.569,92.7239,24.5202,75.63,179.71,267.55,301.52,75.63,40.0,0.0,1.0,True,,Gd25-2a,Gd
www.nagalandpost.com,http://www.nagalandpost.com/ChannelNews/State/StateNews.aspx?news=TkVXUzEwMDA0MDQ4MQ%3D%3D-gEvw8J4DIOI%3D,5006,2013-07-01 00:00:00,"Thillong Village, Doyang Along State Highway 1, Wokha To Merapani Road","Meanwhile, a massive landslide occurred at Thillong Village, Doyang along the state highway 1, Wokha to Merapani road. Chairman, Thillong Village Council, Wokha, Samuel, Y. Patton in a press release stated five residential buildings have been destroyed and human lives are put at stake if immediate steps are not initiated to clear this landslide.","Thillong Village, Doyang Along State Highway 1, Wokha To Merapani Road",landslide,downpour,medium,unknown,0.0,0.0,India,IN,Nagaland,54010.0,Wokha,12.97304,94.3864,26.1147,9.11,27.57,97.88,139.57,28.08,350.0,5.226876247386835,1.0,True,2.0,Ao76-2/3c,Ao
twocircles.net,http://twocircles.net/2012jun22/landslide_kills_three_assam.html,4424,2012-06-20 00:00:00,"Lalunggaon, Guwahati,  Assam","A man and his two minor sons were killed after their house here collapsed following a landslide Friday, police said. The accident took place in Lalunggaon area.Police said that incessant rains in the area since Thursday evening led to the landslide. ","Lalunggaon, Guwahati,  Assam",landslide,downpour,medium,unknown,0.0,0.0,India,IN,Assam,899094.0,Guwahati,4.06526,91.7351,26.149,32.69,36.57,116.35,187.68,50.7,52.0,1.852254273911334,1.0,True,2.0,Ao79-a,Ao
Nagaland Post,https://issuu.com/nagalandpost90/docs/july_13__2016,8930,2016-07-11 23:00:00,"North Point Colony, Akuluto, Nagaland, India","A massive landslide occurred at North Point Colony, Akuluto on July 11 at around 11p.m. According an official bulletin, SDO (civil) Akuluto, Kikumsangla Jamir, who visited the affected area, said five houses were damaged badly and the road leading to colony was also blocked.  Local residents and personnel of 8th NAP, B Coy helped in clearing the road and also the affected families.","North Point Colony, Akuluto, Nagaland, India",landslide,unknown,large,unknown,0.0,0.0,India,IN,Nagaland,34021.0,Mokokchūng,17.35373,94.4922,26.1699,8.39,28.43,66.58,162.44,16.82,1161.0,42.54038516410769,1.0,False,3.0,Ao76-2/3c,Ao
Nagaland Post,http://nagalandpost.com/ChannelNews/State/StateNews.aspx?news=TkVXUzEwMDEwMDI0Mw%3D%3D,9251,2016-07-28 23:00:00,"Government Middle School (GMS) Kiphire station “B”, Kiphire, Nagaland, India","Owing to heavy downpour in Kiphire, a retaining wall and water tank collapsed and destroyed the classrooms of Government Middle School (GMS) Kiphire station “B” on the night of July 28. According to the head teacher GMS Kiphire station “B” Lisecho Sangtam, class 6 and 7 classrooms have been completely damaged for which classes could not be held.  Sangtam has also informed that until the building was renovated classes would not resume. He also appealed the school education department to urgently look into the matter as students cannot attend schools if necessary action was not taken. Meanwhile, district administration and School education department Kiphire visited the school.","Government Middle School (GMS) Kiphire station “B”, Kiphire, Nagaland, India",landslide,downpour,medium,retaining_wall,0.0,0.0,India,IN,Nagaland,29499.0,Zunheboto,28.86795,94.7844,25.8702,28.36,51.51,114.4,171.55,28.36,1140.0,7.675353195263384,1.0,True,2.0,Ao76-2/3c,Ao
Business Standard,http://www.business-standard.com/article/pti-stories/landslides-in-arunachal-district-no-loss-of-life-116050200846_1.html,9404,2016-05-01 00:00:00,"Hayuliang, Anjaw district,Arunachal Pradesh, India",Landslide triggered by heavy rains have cut off road communication to Hayuliang in remote Anjaw district of Arunachal Pradesh but there was no report of any loss of life.   Heavy rains have lashed Anjaw for the past 26 days and official sources said Hayuliang has remained cut off since yesterday.,"Hayuliang, Anjaw district,Arunachal Pradesh, India",landslide,downpour,medium,above_road,0.0,0.0,India,IN,Arunachal Pradesh,1834.0,Hayuliang,1.5198,96.5316,28.0822,6.31,22.57,39.76,175.28,13.47,582.0,31.735828847521173,1.0,True,2.0,I-Af-Bd-2c,I
indianexpress,http://www.indianexpress.com/news/Landslides-cut-off-N-E/695456,2579,2010-10-09 00:00:00,"Lower Pezielietsie(Tinpati), Kohima, Manipur","Landslides caused by heavy rain damaged several houses and shops in Lower Pezielietsie in Kohima Saturday, rendering several families homeless. A Maruti van was washed away and damaged after it was buried in the debris, reports from Kohima said. ","Lower Pezielietsie(Tinpati), Kohima, Manipur",landslide,downpour,medium,unknown,0.0,0.0,India,IN,Nagaland,92113.0,Kohima,0.88008,94.1076,25.682,23.12,99.99,119.47,142.62,52.1,1439.0,4.9508487656938565,1.0,True,2.0,Ao76-2/3c,Ao
E-Pao,http://e-pao.net/GP.asp?src=34..200615.jun15,6945,2015-06-19 00:00:00,"amei to Kangpokpi via Imphal road, 0.5 km from Tamei, Tamenglang District",Tamei to Kangpokpi via Imphal road remained cut off for the last few days due to huge landslides near a diesel oil pump located some half a kilometer from Tamei Headquarters.  Contractor engaged under NEC road construction at Tamei has been clearing the site for two days,"amei to Kangpokpi via Imphal road, 0.5 km from Tamei, Tamenglang District",landslide,monsoon,medium,above_road,0.0,0.0,India,IN,Manipur,223523.0,Imphal,46.89414,93.686,25.16,1.74,5.62,28.44,103.94,8.69,1016.0,36.10655674778545,1.0,True,2.0,Bh16-2/3c,Bh
assamtribune,http://www.assamtribune.com/scripts/detailsnew.asp?id=apr2110/at06,1770,2010-04-20 00:00:00,"Kharghuli, Guwahati, Assam","GUWAHATI, April 20 – Civic woes of Guwahatians is continuing to unfold its murkier side with incessant downpour today forcing district administration to engage National Disaster Response Force (NDRF) to facilitate movement of residents of low-lying areas at the heart of the capital city.   The incessant rains also led to landslide in the hilly areas of the city, including at Kharghuli hillside and the hills adjoining the Raj Bhavan.","Kharghuli, Guwahati, Assam",landslide,downpour,medium,unknown,0.0,0.0,India,IN,Assam,899094.0,Guwahati,2.18012,91.763,26.1965,33.21,123.36,189.67,209.12,61.16,93.0,2.7771727466475022,1.0,True,2.0,Ao79-a,Ao
english.peopledaily,http://english.peopledaily.com.cn/90001/90777/90852/6938742.html,1613,2010-04-02 23:00:00,"Koloriang, Kuring Kumey district, Arunachal Pradesh","At least seven persons, including four children, were buried alive after torrential rains triggered landslides caved in their dwelling house at Koloriang, the headquarters of remote Kurung Kumey district in Arunachal Pradesh, last night.  The disaster occurred at around 11 pm when all the victims were under sleep after having the night’s meal. The velocity of the landslide was so strong that it completely collapsed the occupants’ bamboo-made house within no time, killing all seven persons on the spot. Two other people, who were sleeping outside the ill-fated house, escaped unhurt, informed the Kurung Kumey district SP, A Tamut.  Kurung Kumey, along with other parts of Arunachal, has been experiencing heavy showers for the past one week, paralyzing the normal life  of the people of this air-fed hilly station.","Koloriang, Kuring Kumey district, Arunachal Pradesh",mudslide,downpour,large,unknown,12.0,0.0,India,IN,Arunachal Pradesh,13893.0,Ziro,58.84724,93.3497,27.8997,6.29,18.64,40.38,76.9,8.99,867.0,6.540767028653907,1.0,True,3.0,Ao80-2bc,Ao
Indian Express,http://indianexpress.com/article/india/india-news-india/separate-landslides-kill-two-in-assam-2913748/,8996,2016-07-14 00:00:00,"Pub Sarania hill, South Sarania, Guwahati, Assam, India","Trigger is likely monsoon rains because the incident occurred during monsoon season.  Two persons, including a girl, were killed in landslides in Assam on Thursday. An octogenarian was killed when a sudden landslide buried his house at Pub Sarania hill, district deputy commissioner M Angamathu said.","Pub Sarania hill, South Sarania, Guwahati, Assam, India",landslide,monsoon,small,natural_slope,1.0,0.0,India,IN,Assam,899094.0,Guwahati,2.58336,91.7702,26.1768,7.89,16.48,48.2,189.46,11.26,83.0,30.11204693140904,1.0,True,1.0,Ao79-a,Ao
www.nagalandpost.com,http://www.nagalandpost.com/ChannelNews/State/StateNews.aspx?news=TkVXUzEwMDA0MjY4Nw%3D%3D-bSp8jh3okxw%3D,5272,2013-08-04 00:00:00,"Longsa, Nagaland","Incessant torrential rain, which began Sunday at around 11.30 p.m. has completely cut off Suruhuto town from the rest of the state. In a press release, NGZPMC joint secretary Hotoshe Sema said all three links connecting Zunheboto, Mokokchung and Tuensang have been cut off. Road to Zunheboto has been  blocked in 5-6 places and Mokokchung road has been blocked in two places near Zhekuto and Longsa. The valleys of Nanga (Dikhu), Phizo and Tizu, known as rice bowls of Suruhuto Area has been damaged by floods and landslides. Many terrace fields and canals have been washed away by flood. A team of Nanga (Dikhu) Greener Zone Project Management Committee (NGZPMC) who were on GPS mapping of Community Conserved Area (CCA) has been stranded at Nanga valley owing to flood. Log bridges connecting Phuye New/Old and Suruhuto/Surumi/Aichi Saghemi villages have been washed away. Travelers from Tuensang to Kohima/Dimapur via Suruhuto-Coco shortcut road have been requested to take the via Mokokchung rout","Longsa, Nagaland",landslide,monsoon,medium,unknown,0.0,0.0,India,IN,Nagaland,34021.0,Mokokchūng,13.15534,94.5438,26.2083,5.78,14.93,47.43,91.56,17.14,1477.0,7.149705606575251,1.0,True,2.0,Ao76-2/3c,Ao
Hindu,http://www.thehindu.com/news/states/other-states/article2276615.ece,3805,2011-07-19 00:00:00,200 meters from Teesta Bridge towards Siliguri,"The ongoing monsoons have once again started to take its toll along NH-31A, with various places along the West Bengal-Sikkim highway being blocked because of landslides, police said.  After closing down the highway for over 12 hours at Rambi in the West Bengal side on June 17, the rains have once again disrupted traffic along the highway since Tuesday.  “The highway is blocked at a place around 200 meters from Teesta Bridge towards Siliguri. The spot which is near the Shiv Mandir at the infamous Likhey Bhir is informed to have lost a section of the road due to heavy rains,” Janmukti Chalak Mahasangh’s (JCM) president Milan Pradhan said.  The section of the road broke down at around mid-night on Tuesday after which traffic came to a standstill with vehicles on either side returning back to their destinations or taking alternative routes via Darjeeling, Kurseong or Mirik, police said.  Drivers are also taking the route via Kalimpong-Lava-Gurubathan and Damdim and entering Siliguri throug",200 meters from Teesta Bridge towards Siliguri,landslide,rain,medium,above_road,0.0,0.0,India,IN,Sikkim,3596.0,Jorethang,4.44389,88.42572376,27.05374234,36.35,54.71,109.87,198.02,36.35,229.0,28.07860733151429,1.0,True,2.0,Rd29-1a,Rd
The Hindu,http://www.thehindu.com/news/national/many-killed-in-arunachal-landslip/article8798739.ece,8237,2016-07-01 00:00:00,"Old Inspection Bungalow, Bhalukpong town, West Kameng, Arunachal Pradesh, India","At least five persons, including two women, were killed on Friday, while five others remained missing in a landslip that buried several houses in Arunachal Pradesh’s West Kameng district, which is being lashed by torrential rain.  The landslip occurred when a small hillock near the Old Inspection Bungalow caved in and buried several houses in Bhalukpong town, West Kameng district Superintendent of Police A. Koan said. While five bodies were retrieved from the debris, five others were still missing as rescue operation had to be suspended due to darkness.  Three rescued  The SP, who is camping at Bhalukpong to supervise rescue operations, said torrential rain in the past couple of days have triggered flood-like situation in the town bordering Assam.         Three persons have been rescued from the debris, but they have sustained serious injuries, he said.","Old Inspection Bungalow, Bhalukpong town, West Kameng, Arunachal Pradesh, India",landslide,downpour,large,unknown,5.0,3.0,India,IN,Arunachal Pradesh,18739.0,Rangāpāra,19.7667,92.6351,27.0136,7.67,13.51,20.96,60.96,7.67,221.0,4.832634573500187,1.0,True,3.0,Be82-a,Be
Indian Express,http://indianexpress.com/article/india/india-news-india/at-least-10-killed-in-landslides-in-assam-rescue-operations-underway-2806810/,9334,2016-05-18 08:00:00,"Bilaipur, Hailakandi district, Assam, India","One of two landslides in Bilaipur triggered by the same rainfall event. Ten people were killed in landslides in Karimganj and Hailakandi districts in Barak Valley in Assam on Wednesday following incessant rains. In neighbouring Hailakandi district, two incidents of landslide killed four persons at Bilaipur and a six-year old boy at Ramchandi area, police officials said. The debris fell on two houses where the victims were sleeping early in the morning, they said. NDRF and police have been engaged in rescue and relief operations.","Bilaipur, Hailakandi district, Assam, India",landslide,continuous_rain,unknown,unknown,2.0,0.0,India,IN,Assam,10942.0,Lāla,11.80305,92.7264,24.5204,75.63,179.71,267.55,301.52,75.63,42.0,1.3764031215077237,1.0,True,,Gd25-2a,Gd
voiceofsikkim.com,http://voiceofsikkim.com/2010/04/18/rains-trigger-major-landslide-at-pani-house/,1756,2010-04-17 00:00:00,"Nam Nang, Gangtok","On the same day, another minor landslide was reported at Nam-Nang. ","Nam Nang, Gangtok",landslide,downpour,small,unknown,0.0,0.0,India,IN,Sikkim,30700.0,Gangtok,0.53719,88.6087,27.322,0.26,1.83,3.59,4.09,1.22,1509.0,32.9637078729091,1.0,True,1.0,Bd32-2bc,Bd
Business Standard,http://www.business-standard.com/article/pti-stories/two-killed-in-mizoram-landslide-116072900324_1.html,9232,2016-07-28 23:00:00,"Ngur, near Mizoram-Myanmar border, India","A woman and her three-year-old daughter were killed and six others injured when a house was hit by a massive landslide at Ngur village at Mizoram-Myanmar border, police said today.   Bodies of Dawnsianmuangi (42) and her daughter were taken out from the mud by the villagers following the landslide last night.   Dawnsiangmuangi's youngest daughter, who is three-month old, is safe, police said.   One of the six injured persons was Laltlanthanga, a voluntary rescue worker, who sustained spinal injury and was brought to the Aizawl Civil Hospital.   Nine families abandoned their houses in Ngur after incessant rainfall in village for two days, police said.","Ngur, near Mizoram-Myanmar border, India",landslide,continuous_rain,medium,unknown,2.0,6.0,India,IN,Mizoram,2537.0,Khawhai,31.21935,93.3783,23.5397,7.01,19.12,53.22,102.28,16.45,1564.0,10.138358485391878,1.0,True,2.0,Bh16-2/3c,Bh
thesop.org,http://thesop.org/story/20120701/woman-killed-in-guwahati-by-landslide.html,4434,2012-06-25 18:00:00,"Sonaighuli area near Kahilipara, Guwahati City, Assam","A woman was killed and a man injured in landslide in Guwahati city on Monday evening, June 25, police said. The incident took place at Sonaighuli area near Kahilipara in the city on Monday evening, when a woman was hit by a rock during landslide after heavy rain in previous 48 hours. The deceased was identified as Pinky Mondal. n the same incident, a person named Anup Mondal was also injured, and he was admitted to the Guwahati Medical College hospital for treatment.","Sonaighuli area near Kahilipara, Guwahati City, Assam",landslide,downpour,large,unknown,1.0,0.0,India,IN,Assam,2000.0,Dispur,7.2318,91.7369,26.1049,100.21,151.86,234.0,352.79,100.21,156.0,16.672500924387776,1.0,True,3.0,Nd2-2b,Nd
Nagaland Post,http://www.nagalandpost.com/channelnews/state/StateNews.aspx?news=TkVXUzEwMDA5ODM4NA%3D%3D,9142,2016-06-14 08:00:00,"lower Majakong Ward, Mokokchung, Nagaland, India","A landslide occurred early Tuesday morning due to incessant rain, at lower Majakong Ward, where, a 3 tier retaining wall had collapsed destroying the bathroom and damaging the building walls below. Hearing the news of the calamity, the personnel of the State Disater Response Force, Mokokchung, led by dist. comm, Civil Defence & Home Guards, Watilemba promptly responded and carried out safety measures and debris removal. According to dist. commandant, Civil Defence & Home Guards, Watilemba, said “in cases of natural calamities or manmade disasters, the district administration intimates the State Disaster Response Force and that the personnel are ever ready to respond”.  In such cases, one can also call the Toll Free Emergency Operation Center (EOC) No.913702291122, he added. Earlier, the district administration had verified the site of the slide.","lower Majakong Ward, Mokokchung, Nagaland, India",landslide,continuous_rain,medium,retaining_wall,0.0,0.0,India,IN,Nagaland,34021.0,Mokokchūng,0.94289,94.5247,26.3185,6.05,35.82,62.33,86.43,18.39,1163.0,1.387753790258008,1.0,True,2.0,Ao76-2/3c,Ao
Mizoram Express,http://mizoramexpress.com/index.php/2010/09/mizoram-landslides-kill-one-woman/,2423,2010-09-13 00:00:00,"road to Kanan Veng from Hunthar Veng, Mizoram","In Hunthar Veng, the kitchen side of H. Lalchhanhima’s house was damaged by a landslide while the road to Kanan Veng was blocked by a landslide. ","road to Kanan Veng from Hunthar Veng, Mizoram",landslide,downpour,medium,above_road,0.0,0.0,India,IN,Mizoram,20244.0,Serchhīp,8.59507,92.71060943,23.73504471,9.93,17.18,36.45,64.21,9.93,941.0,30.27625293414386,1.0,True,2.0,Bd61-2c,Bd
The Assam Tribune,http://www.assamtribune.com/scripts/detailsnew.asp?id=sep0615/city053,7956,2015-09-05 00:00:00,Byrnihat,"Another landslide occurred in the 17th Mile area of Byrnihat today, blocking the four lanes of the Guwahati-Shillong Road (NH-40). The road on one side will be cleared by midnight, informed NHAI personnel. Clearance of the other side will be possible only tomorrow.",Byrnihat,landslide,unknown,medium,above_road,0.0,0.0,India,IN,Meghalaya,2000.0,Dispur,11.90419,91.8695,26.048,3.69,63.5,156.6,245.34,37.65,72.0,12.284413866136306,1.0,False,2.0,Nd2-2b,Nd
The Shillong Times,http://www.theshillongtimes.com/2015/06/17/entire-family-among-5-dead-in-tura-landslides/,6970,2015-06-16 00:00:00,Akonggre,Chotelal Prasad was severely injured after boulders fell on his house and was rushed to Tura Civil Hospital where he succumbed to his injuries.,Akonggre,rock_fall,downpour,small,above_road,1.0,0.0,India,IN,Meghalaya,63645.0,Tura,1.79502,90.2191,25.5084,27.16,62.64,230.34,245.52,61.76,323.0,23.705749643396505,1.0,True,1.0,Nd2-2b,Nd
